LATITUDE,LONGITUDE,ADDRESS,ZIPCODE,SUBLOCALITY,TYPE,BEDS,BATH,PROPERTYSQFT,PRICE,BROKERTITLE,HOUSE_UNIT_LATLON_KEY,BOROUGH
40.6400234,-73.9676099,1105 Cortelyou Road #301,11218,Flatbush,condo,2,2.0,1201.0,1250000,Corcoran Williamsburg Bedford,1105|301|40.6400234|-73.9676099,Brooklyn
40.6787789,-73.9643728,737 Bergen Street #1B,11238,Park Slope,condo,2,2.0,1182.0,1395000,Compass,737|1b|40.6787789|-73.9643728,Brooklyn
40.700309,-73.8535466,"83-55 Woodhaven Boulevard #1A, Woodhaven",11421,Jamaica,condo,1,1.0,2184.21,198000,Monticello Real Estate Group,83|1a|40.700309|-73.8535466,Queens
40.5632116,-74.1002521,35 Center Place,10306,New Dorp,house,3,2.0,1400.0,619888,Better Homes And Gardens Real Estate Safari Realty,35||40.5632116|-74.1002521,Staten Island
40.5395319,-74.1450877,205 Wiman Avenue,10308,St. George,house,6,2.37,3780.0,1489000,Ashford Homes,205||40.5395319|-74.1450877,Staten Island
40.7765613,-73.9633167,4 E 79th Street,10075,Upper East Side,house,3,2.37,15200.0,65000000,Sotheby'S International Realty,4||40.7765613|-73.9633167,Manhattan
40.6915139,-73.935444,924 Lafayette Avenue,11221,Clinton Hill,house,3,3.0,1413.0,1595000,Serhant,924||40.6915139|-73.935444,Brooklyn
40.6967268,-73.9074036,1504 Jefferson Avenue,11237,Bushwick,house,3,2.0,803.0,655000,Douglas Elliman,1504||40.6967268|-73.9074036,
40.6915139,-73.935444,924 Lafayette Avenue #2,11221,Clinton Hill,condo,2,2.0,1115.0,1175000,Serhant,924|2|40.6915139|-73.935444,Brooklyn
40.7832094,-73.7967588,16-33 166th Street,11357,Whitestone,house,9,2.37,2350.0,2880000,E Realty International Corp,16||40.7832094|-73.7967588,Queens
40.5874844,-74.0701056,425 Father Capodanno Boulevard,10305,Port Richmond,house,3,4.0,2150.0,798000,Momentum Real Estate Llc,425||40.5874844|-74.0701056,Staten Island
40.7083434,-73.9081614,"519 Fairview Avenue, Ridgewood",11385,Jackson Heights,house,3,2.37,2184.21,1685000,"Apaus, Inc",519||40.7083434|-73.9081614,Queens
40.764953,-73.977568,111 W 57th Street #50,10019,Midtown West / Hell's Kitchen,condo,3,4.0,4492.0,31000000,Corcoran Chelsea/Flatiron,111|50|40.764953|-73.977568,Manhattan
40.5785288,-73.9655666,234 Ocean View Avenue,11235,Brighton Beach,house,3,2.37,2184.21,2550000,"Dom Realty, Inc",234||40.5785288|-73.9655666,Brooklyn
